policy_family_label,sweep_parameter,sweep_value,policy,ips,snips,dm,dr,effective_sample_size_ratio
Eps-Greedy,epsilon,0.0,epsilon_greedy_popularity_epsilon_0_best_action_35,0.006985,0.006883,0.004726,0.00692,0.012685
Linear TS,sample_scale,0.1,linear_thompson_sampling_scale_0.1,0.003143,0.003279,0.00372,0.003316,0.011983
LinUCB,alpha,0.1,linucb_alpha_0.1,0.003609,0.003737,0.003711,0.003756,0.012071
Logistic UCB,alpha,0.0,logistic_ucb_alpha_0,0.006054,0.005886,0.005035,0.005922,0.012857
Uniform Random,none,0.0,uniform_random,0.00342,0.00342,0.003557,0.003419,1.0
