policy_label,ips,ips_ci_lower,ips_ci_upper,snips,snips_ci_lower,snips_ci_upper,dm,dm_ci_lower,dm_ci_upper,dr,dr_ci_lower,dr_ci_upper
Uniform Random,0.004,0.0026,0.006,0.004,0.0026,0.006,0.018048,0.017412,0.018856,0.002594,-0.000867,0.006501
Eps-Greedy Popularity,0.0136,0.00052,0.040106,0.015044,0.000629,0.049514,0.075525,0.06953,0.08208,0.00985,-0.059445,0.077449
LinUCB,0.016,0.0,0.048,0.017857,0.0,0.056719,0.262301,0.251438,0.275451,-0.005978,-0.13671,0.103763
Logistic UCB,0.016,0.0,0.048,0.016949,0.0,0.050847,0.0,0.0,0.0,0.016,0.0,0.048
Linear TS,0.0,0.0,0.0,0.0,0.0,0.0,0.063725,0.057276,0.069911,0.016372,-0.046381,0.060146
